@relation R_data_frame

@attribute WeekDay numeric
@attribute Hour numeric
@attribute MinuteRange string
@attribute operatingSystem string
@attribute language string
@attribute MobileDeviceManuf string
@attribute VisitNumberGroup string
@attribute Source string
@attribute Medium string
@attribute channelGrouping string
@attribute campaign string
@attribute platform string
@attribute AccumAvgTimeonSite numeric
@attribute AccumAvgpageviews numeric
@attribute isFeedCar numeric
@attribute isFeedNadlan numeric
@attribute isFeedSecondHand numeric
@attribute isNadlanRoomsFilter numeric
@attribute isNadlanPriceFilter numeric
@attribute isNadlanShowPhone numeric
@attribute isNadlanCallSeller numeric
@attribute Success numeric

@data
3,5,31-40,Android,he,'LG ',21-50,(direct),(none),Direct,(none),MOBILE_WEB,394,3,0,0,0,0,0,0,0,1
1,8,31-40,iOS,he,'Apple ',1,(direct),(none),Direct,(none),MOBILE_WEB,62,3,0,0,0,0,0,0,0,1
2,10,11-20,Android,he,'LG ',21-50,(direct),(none),Direct,(none),MOBILE_WEB,274.5,12,0,0,0,0,0,0,0,1
2,19,01-10,iOS,he,'Apple ',51+,(direct),(none),Direct,(none),MOBILE_APP_IOS,1209,16.2,0,1,0,0,0,1,1,1
4,23,51-60,iOS,he,'Apple ',2,(direct),(none),Direct,(none),MOBILE_WEB,464.5,7.5,0,0,0,0,0,0,0,1
3,5,01-10,Android,fr,'Samsung ',1,(direct),(none),Direct,(none),MOBILE_WEB,47,2,0,0,0,0,0,0,0,1
3,12,51-60,Android,fr,'Samsung ',2,(direct),(none),Direct,(none),MOBILE_WEB,23.5,1.5,0,0,0,0,0,0,0,1
2,9,11-20,iOS,he,'Apple ',1,(direct),(none),Direct,(none),MOBILE_WEB,448,21,0,0,0,0,0,0,0,1
2,13,31-40,Android,en,'Samsung ',51+,google,organic,'Organic Search',(none),MOBILE_WEB,238.285714,3.285714,0,0,0,0,0,0,0,1
3,21,01-10,Android,he,'Samsung ',4-5,(direct),(none),Direct,(none),MOBILE_WEB,182,6,0,0,0,0,0,0,0,1
6,9,11-20,Android,he,'Samsung ',11-20,(direct),(none),Direct,(none),MOBILE_WEB,1841,10,0,0,0,0,0,0,0,1
7,9,31-40,Android,he,'Samsung ',11-20,(direct),(none),Direct,(none),MOBILE_WEB,1012,11,0,0,0,0,0,0,0,1
7,20,21-30,Android,he,'LG ',6-10,(direct),(none),Direct,(none),MOBILE_WEB,1139,21,0,1,0,0,0,1,0,1
4,14,11-20,Android,he,'Samsung ',1,(direct),(none),Direct,(none),MOBILE_WEB,79,3,0,0,0,0,0,0,0,1
2,13,01-10,Android,he,'LG ',1,google,organic,'Organic Search',(none),MOBILE_WEB,874,18,0,0,0,0,0,0,0,1
2,18,21-30,Android,he,'LG ',51+,(direct),(none),Direct,(none),MOBILE_WEB,376,2,0,0,0,0,0,0,0,1
6,4,41-50,Android,he,'Samsung ',1,(direct),(none),Direct,(none),MOBILE_WEB,371,3,0,0,0,0,0,0,0,1
1,14,51-60,Android,he,'Samsung ',3,(direct),(none),Direct,(none),MOBILE_WEB,78,3,0,0,0,0,0,0,0,1
2,10,21-30,Android,he,'Samsung ',4-5,(direct),(none),Direct,(none),MOBILE_WEB,56.5,4,0,0,0,0,0,0,0,1
7,11,51-60,iOS,he,'Apple ',1,(direct),(none),Direct,(none),MOBILE_WEB,418,12,0,0,0,0,0,0,0,1
1,15,31-40,Android,ru,'LG ',11-20,(direct),(none),Direct,(none),MOBILE_WEB,443,3,0,0,0,0,0,0,0,1
2,22,01-10,Android,he,'Samsung ',21-50,(direct),(none),Direct,(none),MOBILE_WEB,552,14,0,0,0,0,0,0,0,1
4,7,31-40,Android,en,'Samsung ',1,(direct),(none),Direct,(none),MOBILE_WEB,416,6,0,0,0,0,0,0,0,1
3,19,01-10,iOS,en,'Apple ',1,(direct),(none),Direct,(none),MOBILE_WEB,427,5,0,0,0,0,0,0,0,1
2,16,51-60,Android,he,'Meizu ',1,(direct),(none),Direct,(none),MOBILE_WEB,253,6,0,0,0,0,0,0,0,1
1,11,11-20,iOS,he,'Apple ',51+,(direct),(none),Direct,(none),MOBILE_APP_IOS,500.25,14.25,0,1,0,1,1,0,0,1
7,10,21-30,Android,he,'Samsung ',6-10,google,organic,'Organic Search',(none),MOBILE_WEB,454,15,0,0,0,0,0,0,0,1
5,10,41-50,iOS,he,'Apple ',21-50,(direct),(none),Direct,(none),MOBILE_WEB,13,1.75,0,0,0,0,0,0,0,1
5,21,01-10,Android,ru,'LG ',11-20,google,cpc,'Paid Search','Yad1- פרוייקטים ערים',MOBILE_WEB,239,9,0,0,0,0,0,0,0,1
2,19,21-30,iOS,he,'Apple ',2,(direct),(none),Direct,(none),MOBILE_WEB,527,8,0,0,0,0,0,0,0,1
3,22,21-30,Android,en,'Samsung ',2,(direct),(none),Direct,(none),MOBILE_WEB,100,4,0,0,0,0,0,0,0,1
4,9,51-60,Android,he,'Samsung ',6-10,google,organic,'Organic Search',(none),MOBILE_WEB,957,19,0,0,0,0,0,0,0,1
6,21,21-30,Android,he,'(not ',11-20,(direct),(none),Direct,(none),MOBILE_WEB,184.5,3,0,0,0,0,0,0,0,1
5,19,31-40,Android,he,'Samsung ',51+,google,organic,'Organic Search',(none),MOBILE_WEB,2532.5,12.5,0,0,0,0,0,0,0,1
7,10,11-20,Android,he,'Samsung ',51+,google,organic,'Organic Search',(none),MOBILE_WEB,1710,9.333333,0,0,0,0,0,0,0,1
5,10,01-10,Android,he,'Samsung ',21-50,google,organic,'Organic Search',(none),MOBILE_WEB,1101,22,0,1,0,1,0,1,0,1
2,19,31-40,Android,he,'Samsung ',2,(direct),(none),Direct,(none),MOBILE_WEB,69,3,0,0,0,0,0,0,0,1
3,16,31-40,Android,he,'Samsung ',1,google,organic,'Organic Search',(none),MOBILE_WEB,116,10,0,0,0,0,0,0,0,1
1,14,51-60,iOS,en,'Apple ',1,(direct),(none),Direct,(none),MOBILE_WEB,127,3,0,0,0,0,0,0,0,1
7,8,01-10,iOS,he,'Apple ',51+,(direct),(none),Direct,(none),MOBILE_WEB,1926,17,0,0,0,0,0,0,0,1
5,21,41-50,Android,he,'Samsung ',1,(direct),(none),Direct,(none),MOBILE_WEB,398,4,0,0,0,0,0,0,0,1
5,21,41-50,Android,he,'Samsung ',1,(direct),(none),Direct,(none),MOBILE_WEB,398,4,0,0,0,0,0,0,0,1
5,21,41-50,Android,he,'Samsung ',1,(direct),(none),Direct,(none),MOBILE_WEB,398,4,0,0,0,0,0,0,0,1
5,21,41-50,Android,he,'Samsung ',1,(direct),(none),Direct,(none),MOBILE_WEB,398,4,0,0,0,0,0,0,0,1
5,22,01-10,Android,he,'Samsung ',1,(direct),(none),Direct,(none),MOBILE_WEB,468,6.333333,0,0,0,0,0,0,0,1
5,22,01-10,Android,he,'Samsung ',1,(direct),(none),Direct,(none),MOBILE_WEB,468,6.333333,0,0,0,0,0,0,0,1
5,22,01-10,Android,he,'Samsung ',1,(direct),(none),Direct,(none),MOBILE_WEB,468,6.333333,0,0,0,0,0,0,0,1
5,22,01-10,Android,he,'Samsung ',1,(direct),(none),Direct,(none),MOBILE_WEB,468,6.333333,0,0,0,0,0,0,0,1
7,20,51-60,Android,he,'Samsung ',4-5,(direct),(none),Direct,(none),MOBILE_WEB,66,3,0,0,0,0,0,0,0,1
5,9,41-50,iOS,he,'Apple ',21-50,(direct),(none),Direct,(none),MOBILE_WEB,66.5,1.5,0,0,0,0,0,0,0,1
2,8,11-20,iOS,he,'Apple ',6-10,google,organic,'Organic Search',(none),MOBILE_WEB,38,4,0,0,0,0,0,0,0,1
4,7,51-60,iOS,he,'Apple ',1,(direct),(none),Direct,(none),MOBILE_WEB,113,2,0,0,0,0,0,0,0,1
4,14,01-10,iOS,he,'Apple ',2,(direct),(none),Direct,(none),MOBILE_WEB,56.5,1.5,0,0,0,0,0,0,0,1
6,11,11-20,iOS,it,'Apple ',4-5,(direct),(none),Direct,(none),MOBILE_WEB,205,4.25,0,0,0,0,0,0,0,1
6,18,11-20,Android,he,'Samsung ',6-10,(direct),(none),Direct,(none),MOBILE_WEB,821,18,0,0,0,0,0,0,0,1
6,4,51-60,iOS,he,'Apple ',1,(direct),(none),Direct,(none),MOBILE_WEB,89,2,0,0,0,0,0,0,0,1
2,20,21-30,Android,he,'Samsung ',2,(direct),(none),Direct,(none),MOBILE_WEB,306,3,0,0,0,0,0,0,0,1
4,12,41-50,Android,he,'(not ',6-10,(direct),(none),Direct,(none),MOBILE_WEB,253,4,0,0,0,0,0,0,0,1
4,18,21-30,iOS,he,'Apple ',6-10,(direct),(none),Direct,(none),MOBILE_WEB,1247,4,0,0,0,0,0,0,0,1
2,12,51-60,iOS,en,'Apple ',1,(direct),(none),Direct,(none),MOBILE_WEB,80,2,0,0,0,0,0,0,0,1
7,18,51-60,Android,he,'Samsung ',11-20,(direct),(none),Direct,(none),MOBILE_WEB,663,10,0,0,0,0,0,0,0,1
3,16,11-20,Android,en,'LG ',1,(direct),(none),Direct,(none),MOBILE_WEB,2150,8,0,0,0,0,0,0,0,1
7,17,51-60,Android,en,'LG ',1,google,organic,'Organic Search',(none),MOBILE_WEB,229,3,0,0,0,0,0,0,0,1
6,8,01-10,Android,he,'Samsung ',2,(direct),(none),Direct,(none),MOBILE_WEB,39,3,0,0,0,0,0,0,0,1
4,8,51-60,iOS,en,'Apple ',6-10,(direct),(none),Direct,(none),MOBILE_WEB,161,3,0,0,0,0,0,0,0,1
4,11,41-50,Android,he,'Samsung ',2,google,organic,'Organic Search',(none),MOBILE_WEB,139,9,0,0,0,0,0,0,0,1
