@relation R_data_frame

@attribute WeekDay string
@attribute Hour string
@attribute MinuteRange string
@attribute operatingSystem string
@attribute language string
@attribute MobileDeviceInfo string
@attribute MobileDeviceManuf string
@attribute visitNumber numeric
@attribute VisitNumberGroup string
@attribute Source string
@attribute Medium string
@attribute channelGrouping string
@attribute campaign string
@attribute platform string
@attribute AccumAvgTimeonSite numeric
@attribute AccumAvgpageviews numeric
@attribute isFeedCar numeric
@attribute isFeedNadlan numeric
@attribute isFeedSecondHand numeric
@attribute isNadlanRoomsFilter numeric
@attribute isNadlanPriceFilter numeric
@attribute isNadlanShowPhone numeric
@attribute isNadlanCallSeller numeric
@attribute Success numeric

@data
1,21,11-20,Android,he,'OnePlus A0001 One','OnePlus ',145,51+,(direct),(none),Direct,(none),MOBILE_APP_ANDROID,580.7,45.1,1,1,0,1,0,0,0,0
2,14,51-60,Android,he,'Meizu MZ-m2 m2','Meizu ',15,11-20,google,organic,'Organic Search',(none),MOBILE_WEB,391.384615,5.461538,0,1,0,0,0,0,0,0
2,19,01-10,iOS,he,'Apple iPhone','Apple ',46,21-50,google,organic,'Organic Search',(none),MOBILE_WEB,1295.5,25,0,1,0,1,0,0,0,0
2,14,01-10,iOS,fr,'Apple iPhone','Apple ',2,2,google,organic,'Organic Search',(none),MOBILE_WEB,122.5,4.5,0,1,0,1,1,0,0,0
3,10,41-50,Android,he,'Samsung SM-A510F Galaxy A5 2016 Duos','Samsung ',1,1,google,organic,'Organic Search',(none),MOBILE_WEB,703,15,0,1,0,0,0,0,0,0
2,17,31-40,Android,he,'Samsung SM-J500F Galaxy J5','Samsung ',150,51+,(direct),(none),Direct,(none),MOBILE_WEB,137.2,1.2,0,1,0,0,0,0,0,0
5,17,11-20,iOS,he,'Apple iPhone','Apple ',14,11-20,(direct),(none),Direct,(none),MOBILE_APP_IOS,106,7,0,1,0,0,0,0,0,0
5,9,41-50,iOS,he,'Apple iPhone','Apple ',55,51+,(direct),(none),Direct,(none),MOBILE_WEB,386,12,0,1,0,1,0,0,0,0
1,12,11-20,iOS,he,'Apple iPhone','Apple ',116,51+,google,organic,'Organic Search',(none),MOBILE_WEB,1003.714286,30.571429,0,1,0,0,1,0,0,0
4,10,31-40,Android,he,'LG F670S K10','LG ',6,6-10,google,organic,'Organic Search',(none),MOBILE_WEB,484,7.666667,0,1,0,0,0,0,0,0
5,13,41-50,iOS,en,'Apple iPhone','Apple ',46,21-50,(direct),(none),Direct,(none),MOBILE_APP_IOS,53.5,3.5,0,1,0,0,1,0,0,0
1,5,21-30,Android,he,'Samsung SM-G920F Galaxy S6','Samsung ',125,51+,(direct),(none),Direct,(none),MOBILE_APP_ANDROID,25.6,3.2,0,1,0,0,0,0,0,0
1,10,01-10,Android,he,'LG D855 G3','LG ',12,11-20,google,organic,'Organic Search',(none),MOBILE_WEB,1313.142857,28.428571,1,1,0,0,0,0,0,0
5,21,31-40,iOS,he,'Apple iPhone','Apple ',1,1,google,organic,'Organic Search',(none),MOBILE_WEB,561,26,0,1,0,0,0,0,0,0
1,13,11-20,Android,he,'Samsung SM-G930F Galaxy S7','Samsung ',20,11-20,google,organic,'Organic Search',(none),MOBILE_WEB,11,2,0,1,0,0,0,0,0,0
